Filename:  C:\Users\bier\Desktop\testzeug\step1_2_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\testzeug\step_2.1428_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.2856_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.4283_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.5711_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.7138_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.8567_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.9994_100kv10w60s.mca;;
Description:  ;;;;;;Description:  ;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;
TimeStamp:  06/03/2015 17:37:09;;;;;;TimeStamp:  06/03/2015 17:40:06;;;;;;TimeStamp:  06/03/2015 17:42:40;;;;;;;;;;;TimeStamp:  06/03/2015 17:44:26;;;;;;;;;;;TimeStamp:  06/03/2015 17:46:12;;;;;;;;;;;TimeStamp:  06/03/2015 17:49:08;;;;;;;;;;;TimeStamp:  06/03/2015 17:53:05;;;;;;;;;;;TimeStamp:  06/03/2015 17:56:43;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibration Information;;;;;;Calibration Information;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;
Label:  Channel;;;;;;Label:  Channel;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;
Channel;Value;;;;;Channel;Value;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;
296;58.5;;;;;296;58.5;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;
337;67.24;;;;;337;67.24;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;
A;B;C;;;;A;B;C;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C
13;0;;;;;13;0;;;;;13;0;;;;;;;;;;13;0;;;;;;;;;;13;0;;;;;;;;;;13;0;;;;;;;;;;13;0;;;;;;;;;;13;0;
14;0;;;;;14;0;;;;;14;0;;;;;;;;;;14;0;;;;;;;;;;14;0;;;;;;;;;;14;0;;;;;;;;;;14;0;;;;;;;;;;14;0;
15;0;;;;;15;0;;;;;15;0;;;;;;;;;;15;0;;;;;;;;;;15;0;;;;;;;;;;15;0;;;;;;;;;;15;0;;;;;;;;;;15;0;
16;0;;;;;16;0;;;;;16;0;;;;;;;;;;16;0;;;;;;;;;;16;0;;;;;;;;;;16;0;;;;;;;;;;16;0;;;;;;;;;;16;0;
17;0;;;;;17;0;;;;;17;0;;;;;;;;;;17;0;;;;;;;;;;17;0;;;;;;;;;;17;0;;;;;;;;;;17;0;;;;;;;;;;17;0;
18;0;;;;;18;0;;;;;18;0;;;;;;;;;;18;0;;;;;;;;;;18;0;;;;;;;;;;18;0;;;;;;;;;;18;0;;;;;;;;;;18;0;
19;0;;;;;19;0;;;;;19;0;;;;;;;;;;19;0;;;;;;;;;;19;0;;;;;;;;;;19;0;;;;;;;;;;19;0;;;;;;;;;;19;0;
20;0;;;;;20;0;;;;;20;0;;;;;;;;;;20;0;;;;;;;;;;20;0;;;;;;;;;;20;0;;;;;;;;;;20;0;;;;;;;;;;20;0;
21;0;;;;;21;0;;;;;21;0;;;;;;;;;;21;0;;;;;;;;;;21;0;;;;;;;;;;21;0;;;;;;;;;;21;0;;;;;;;;;;21;0;
22;0;;;;;22;0;;;;;22;0;;;;;;;;;;22;0;;;;;;;;;;22;0;;;;;;;;;;22;0;;;;;;;;;;22;0;;;;;;;;;;22;0;
23;493;;;;;23;604;;;;;23;0;;;;;;;;;;23;0;;;;;;;;;;23;0;;;;;;;;;;23;0;;;;;;;;;;23;0;;;;;;;;;;23;0;
24;577;;;;;24;795;;;;;24;651;;;;;;;;;;24;665;;;;;;;;;;24;624;;;;;;;;;;24;520;;;;;;;;;;24;461;;;;;;;;;;24;449;
25;714;;;;;25;856;;;;;25;854;;;;;;;;;;25;857;;;;;;;;;;25;803;;;;;;;;;;25;618;;;;;;;;;;25;583;;;;;;;;;;25;557;
26;676;;;;;26;924;;;;;26;908;;;;;;;;;;26;941;;;;;;;;;;26;785;;;;;;;;;;26;712;;;;;;;;;;26;612;;;;;;;;;;26;607;
27;755;;;;;27;958;;;;;27;1016;;;;;;;;;;27;1013;;;;;;;;;;27;925;;;;;;;;;;27;806;;;;;;;;;;27;655;;;;;;;;;;27;643;
28;789;;;;;28;954;;;;;28;1089;;;;;;;;;;28;1083;;;;;;;;;;28;985;;;;;;;;;;28;787;;;;;;;;;;28;670;;;;;;;;;;28;655;
29;799;;;;;29;953;;;;;29;1156;;;;;;;;;;29;1090;;;;;;;;;;29;997;;;;;;;;;;29;813;;;;;;;;;;29;730;;;;;;;;;;29;707;
30;775;;;;;30;1053;;;;;30;1112;;;;;;;;;;30;1180;;;;;;;;;;30;1023;;;;;;;;;;30;874;;;;;;;;;;30;731;;;;;;;;;;30;710;
31;819;;;;;31;1002;;;;;31;1195;;;;;;;;;;31;1178;;;;;;;;;;31;1024;;;;;;;;;;31;903;;;;;;;;;;31;739;;;;;;;;;;31;734;
32;861;;;;;32;937;;;;;32;1198;;;;;;;;;;32;1117;;;;;;;;;;32;973;;;;;;;;;;32;827;;;;;;;;;;32;789;;;;;;;;;;32;745;
33;853;;;;;33;984;;;;;33;1131;;;;;;;;;;33;1112;;;;;;;;;;33;1042;;;;;;;;;;33;871;;;;;;;;;;33;732;;;;;;;;;;33;684;
34;830;;;;;34;1113;;;;;34;1162;;;;;;;;;;34;1184;;;;;;;;;;34;1087;;;;;;;;;;34;877;;;;;;;;;;34;769;;;;;;;;;;34;745;
35;860;;;;;35;1022;;;;;35;1165;;;;;;;;;;35;1100;;;;;;;;;;35;1021;;;;;;;;;;35;919;;;;;;;;;;35;778;;;;;;;;;;35;780;
36;803;;;;;36;1026;;;;;36;1210;;;;;;;;;;36;1159;;;;;;;;;;36;1085;;;;;;;;;;36;831;;;;;;;;;;36;754;;;;;;;;;;36;728;
37;824;;;;;37;1048;;;;;37;1122;;;;;;;;;;37;1151;;;;;;;;;;37;1061;;;;;;;;;;37;833;;;;;;;;;;37;765;;;;;;;;;;37;753;
38;873;;;;;38;1016;;;;;38;1153;;;;;;;;;;38;1167;;;;;;;;;;38;1058;;;;;;;;;;38;894;;;;;;;;;;38;755;;;;;;;;;;38;745;
39;791;;;;;39;1061;;;;;39;1167;;;;;;;;;;39;1159;;;;;;;;;;39;1125;;;;;;;;;;39;853;;;;;;;;;;39;731;;;;;;;;;;39;747;
40;782;;;;;40;1045;;;;;40;1233;;;;;;;;;;40;1201;;;;;;;;;;40;1069;;;;;;;;;;40;871;;;;;;;;;;40;779;;;;;;;;;;40;758;
41;820;;;;;41;1083;;;;;41;1147;;;;;;;;;;41;1192;;;;;;;;;;41;1056;;;;;;;;;;41;828;;;;;;;;;;41;767;;;;;;;;;;41;755;
42;845;;;;;42;943;;;;;42;1208;;;;;;;;;;42;1079;;;;;;;;;;42;1079;;;;;;;;;;42;860;;;;;;;;;;42;744;;;;;;;;;;42;759;
43;812;;;;;43;1005;;;;;43;1180;;;;;;;;;;43;1102;;;;;;;;;;43;995;;;;;;;;;;43;822;;;;;;;;;;43;794;;;;;;;;;;43;777;
44;866;;;;;44;1070;;;;;44;1176;;;;;;;;;;44;1156;;;;;;;;;;44;1012;;;;;;;;;;44;833;;;;;;;;;;44;779;;;;;;;;;;44;730;
45;799;;;;;45;1085;;;;;45;1189;;;;;;;;;;45;1170;;;;;;;;;;45;1005;;;;;;;;;;45;913;;;;;;;;;;45;739;;;;;;;;;;45;767;
46;796;;;;;46;1068;;;;;46;1196;;;;;;;;;;46;1189;;;;;;;;;;46;1001;;;;;;;;;;46;846;;;;;;;;;;46;788;;;;;;;;;;46;758;
47;865;;;;;47;1037;;;;;47;1180;;;;;;;;;;47;1160;;;;;;;;;;47;1057;;;;;;;;;;47;876;;;;;;;;;;47;759;;;;;;;;;;47;716;
48;866;;;;;48;1041;;;;;48;1170;;;;;;;;;;48;1170;;;;;;;;;;48;1071;;;;;;;;;;48;900;;;;;;;;;;48;773;;;;;;;;;;48;757;
49;861;;;;;49;1047;;;;;49;1159;;;;;;;;;;49;1139;;;;;;;;;;49;1117;;;;;;;;;;49;901;;;;;;;;;;49;752;;;;;;;;;;49;732;
50;797;;;;;50;1032;;;;;50;1217;;;;;;;;;;50;1143;;;;;;;;;;50;1066;;;;;;;;;;50;849;;;;;;;;;;50;766;;;;;;;;;;50;774;
51;816;;;;;51;1045;;;;;51;1227;;;;;;;;;;51;1185;;;;;;;;;;51;1066;;;;;;;;;;51;915;;;;;;;;;;51;778;;;;;;;;;;51;786;
52;809;;;;;52;1136;;;;;52;1180;;;;;;;;;;52;1191;;;;;;;;;;52;1115;;;;;;;;;;52;862;;;;;;;;;;52;771;;;;;;;;;;52;781;
53;899;;;;;53;947;;;;;53;1158;;;;;;;;;;53;1142;;;;;;;;;;53;1099;;;;;;;;;;53;874;;;;;;;;;;53;765;;;;;;;;;;53;743;
54;819;;;;;54;1073;;;;;54;1200;;;;;;;;;;54;1160;;;;;;;;;;54;1074;;;;;;;;;;54;903;;;;;;;;;;54;787;;;;;;;;;;54;758;
55;862;;;;;55;1051;;;;;55;1232;;;;;;;;;;55;1160;;;;;;;;;;55;1096;;;;;;;;;;55;845;;;;;;;;;;55;762;;;;;;;;;;55;736;
56;836;;;;;56;1049;;;;;56;1204;;;;;;;;;;56;1167;;;;;;;;;;56;1103;;;;;;;;;;56;870;;;;;;;;;;56;777;;;;;;;;;;56;747;
57;826;;;;;57;1009;;;;;57;1175;;;;;;;;;;57;1197;;;;;;;;;;57;980;;;;;;;;;;57;917;;;;;;;;;;57;796;;;;;;;;;;57;772;
58;850;;;;;58;1050;;;;;58;1131;;;;;;;;;;58;1154;;;;;;;;;;58;1127;;;;;;;;;;58;925;;;;;;;;;;58;761;;;;;;;;;;58;789;
59;834;;;;;59;1048;;;;;59;1148;;;;;;;;;;59;1142;;;;;;;;;;59;1113;;;;;;;;;;59;948;;;;;;;;;;59;785;;;;;;;;;;59;730;
60;824;;;;;60;1030;;;;;60;1204;;;;;;;;;;60;1173;;;;;;;;;;60;997;;;;;;;;;;60;923;;;;;;;;;;60;798;;;;;;;;;;60;734;
61;844;;;;;61;1016;;;;;61;1118;;;;;;;;;;61;1232;;;;;;;;;;61;982;;;;;;;;;;61;914;;;;;;;;;;61;788;;;;;;;;;;61;736;
62;805;;;;;62;1057;;;;;62;1125;;;;;;;;;;62;1112;;;;;;;;;;62;1100;;;;;;;;;;62;842;;;;;;;;;;62;757;;;;;;;;;;62;737;
63;803;;;;;63;1049;;;;;63;1125;;;;;;;;;;63;1140;;;;;;;;;;63;1023;;;;;;;;;;63;848;;;;;;;;;;63;762;;;;;;;;;;63;736;
64;814;;;;;64;980;;;;;64;1200;;;;;;;;;;64;1118;;;;;;;;;;64;1005;;;;;;;;;;64;908;;;;;;;;;;64;733;;;;;;;;;;64;707;
65;810;;;;;65;1022;;;;;65;1136;;;;;;;;;;65;1135;;;;;;;;;;65;1013;;;;;;;;;;65;888;;;;;;;;;;65;781;;;;;;;;;;65;725;
66;881;;;;;66;994;;;;;66;1163;;;;;;;;;;66;1171;;;;;;;;;;66;972;;;;;;;;;;66;878;;;;;;;;;;66;765;;;;;;;;;;66;750;
67;834;;;;;67;981;;;;;67;1101;;;;;;;;;;67;1130;;;;;;;;;;67;1007;;;;;;;;;;67;911;;;;;;;;;;67;774;;;;;;;;;;67;712;
68;789;;;;;68;979;;;;;68;1159;;;;;;;;;;68;1007;;;;;;;;;;68;977;;;;;;;;;;68;855;;;;;;;;;;68;755;;;;;;;;;;68;762;
69;800;;;;;69;1035;;;;;69;1110;;;;;;;;;;69;1108;;;;;;;;;;69;1024;;;;;;;;;;69;868;;;;;;;;;;69;733;;;;;;;;;;69;717;
70;784;;;;;70;979;;;;;70;1081;;;;;;;;;;70;1152;;;;;;;;;;70;999;;;;;;;;;;70;864;;;;;;;;;;70;701;;;;;;;;;;70;734;
71;750;;;;;71;941;;;;;71;1087;;;;;;;;;;71;1133;;;;;;;;;;71;996;;;;;;;;;;71;800;;;;;;;;;;71;779;;;;;;;;;;71;737;
72;784;;;;;72;1016;;;;;72;1090;;;;;;;;;;72;1118;;;;;;;;;;72;1071;;;;;;;;;;72;842;;;;;;;;;;72;738;;;;;;;;;;72;722;
73;805;;;;;73;1009;;;;;73;1144;;;;;;;;;;73;1083;;;;;;;;;;73;977;;;;;;;;;;73;834;;;;;;;;;;73;763;;;;;;;;;;73;733;
74;760;;;;;74;964;;;;;74;1096;;;;;;;;;;74;1098;;;;;;;;;;74;976;;;;;;;;;;74;853;;;;;;;;;;74;776;;;;;;;;;;74;708;
75;810;;;;;75;999;;;;;75;1085;;;;;;;;;;75;1033;;;;;;;;;;75;937;;;;;;;;;;75;826;;;;;;;;;;75;716;;;;;;;;;;75;701;
76;790;;;;;76;1032;;;;;76;1080;;;;;;;;;;76;1089;;;;;;;;;;76;995;;;;;;;;;;76;814;;;;;;;;;;76;763;;;;;;;;;;76;761;
77;815;;;;;77;962;;;;;77;1066;;;;;;;;;;77;1093;;;;;;;;;;77;1009;;;;;;;;;;77;856;;;;;;;;;;77;756;;;;;;;;;;77;742;
78;807;;;;;78;961;;;;;78;1114;;;;;;;;;;78;1144;;;;;;;;;;78;1027;;;;;;;;;;78;827;;;;;;;;;;78;771;;;;;;;;;;78;798;
79;829;;;;;79;1007;;;;;79;1099;;;;;;;;;;79;1119;;;;;;;;;;79;1015;;;;;;;;;;79;888;;;;;;;;;;79;708;;;;;;;;;;79;733;
80;895;;;;;80;1054;;;;;80;1166;;;;;;;;;;80;1114;;;;;;;;;;80;1019;;;;;;;;;;80;887;;;;;;;;;;80;780;;;;;;;;;;80;762;
81;879;;;;;81;1070;;;;;81;1169;;;;;;;;;;81;1097;;;;;;;;;;81;1002;;;;;;;;;;81;894;;;;;;;;;;81;777;;;;;;;;;;81;805;
82;863;;;;;82;1078;;;;;82;1126;;;;;;;;;;82;1132;;;;;;;;;;82;1054;;;;;;;;;;82;962;;;;;;;;;;82;896;;;;;;;;;;82;813;
83;908;;;;;83;1152;;;;;83;1156;;;;;;;;;;83;1145;;;;;;;;;;83;1116;;;;;;;;;;83;939;;;;;;;;;;83;798;;;;;;;;;;83;823;
84;938;;;;;84;1174;;;;;84;1250;;;;;;;;;;84;1221;;;;;;;;;;84;1087;;;;;;;;;;84;896;;;;;;;;;;84;877;;;;;;;;;;84;843;
85;953;;;;;85;1118;;;;;85;1224;;;;;;;;;;85;1197;;;;;;;;;;85;1189;;;;;;;;;;85;941;;;;;;;;;;85;860;;;;;;;;;;85;893;
86;981;;;;;86;1139;;;;;86;1259;;;;;;;;;;86;1227;;;;;;;;;;86;1129;;;;;;;;;;86;960;;;;;;;;;;86;897;;;;;;;;;;86;931;
87;1024;;;;;87;1143;;;;;87;1289;;;;;;;;;;87;1272;;;;;;;;;;87;1142;;;;;;;;;;87;1033;;;;;;;;;;87;869;;;;;;;;;;87;913;
88;1034;;;;;88;1254;;;;;88;1354;;;;;;;;;;88;1247;;;;;;;;;;88;1191;;;;;;;;;;88;1082;;;;;;;;;;88;911;;;;;;;;;;88;1025;
89;1159;;;;;89;1229;;;;;89;1420;;;;;;;;;;89;1371;;;;;;;;;;89;1170;;;;;;;;;;89;1072;;;;;;;;;;89;975;;;;;;;;;;89;1017;
90;1158;;;;;90;1257;;;;;90;1405;;;;;;;;;;90;1428;;;;;;;;;;90;1269;;;;;;;;;;90;1208;;;;;;;;;;90;1043;;;;;;;;;;90;1044;
91;1138;;;;;91;1246;;;;;91;1437;;;;;;;;;;91;1434;;;;;;;;;;91;1318;;;;;;;;;;91;1193;;;;;;;;;;91;1011;;;;;;;;;;91;1032;
92;1188;;;;;92;1418;;;;;92;1506;;;;;;;;;;92;1459;;;;;;;;;;92;1381;;;;;;;;;;92;1248;;;;;;;;;;92;1057;;;;;;;;;;92;1091;
93;1277;;;;;93;1444;;;;;93;1623;;;;;;;;;;93;1498;;;;;;;;;;93;1379;;;;;;;;;;93;1261;;;;;;;;;;93;1208;;;;;;;;;;93;1137;
94;1256;;;;;94;1488;;;;;94;1590;;;;;;;;;;94;1652;;;;;;;;;;94;1546;;;;;;;;;;94;1314;;;;;;;;;;94;1185;;;;;;;;;;94;1130;
95;1248;;;;;95;1491;;;;;95;1698;;;;;;;;;;95;1552;;;;;;;;;;95;1530;;;;;;;;;;95;1292;;;;;;;;;;95;1265;;;;;;;;;;95;1246;
96;1344;;;;;96;1536;;;;;96;1773;;;;;;;;;;96;1705;;;;;;;;;;96;1622;;;;;;;;;;96;1447;;;;;;;;;;96;1273;;;;;;;;;;96;1281;
97;1468;;;;;97;1601;;;;;97;1830;;;;;;;;;;97;1713;;;;;;;;;;97;1634;;;;;;;;;;97;1437;;;;;;;;;;97;1307;;;;;;;;;;97;1289;
98;1530;;;;;98;1727;;;;;98;1836;;;;;;;;;;98;1863;;;;;;;;;;98;1736;;;;;;;;;;98;1454;;;;;;;;;;98;1358;;;;;;;;;;98;1336;
99;1562;;;;;99;1808;;;;;99;1949;;;;;;;;;;99;1870;;;;;;;;;;99;1867;;;;;;;;;;99;1556;;;;;;;;;;99;1484;;;;;;;;;;99;1450;
100;1613;;;;;100;1884;;;;;100;1950;;;;;;;;;;100;2016;;;;;;;;;;100;1850;;;;;;;;;;100;1659;;;;;;;;;;100;1473;;;;;;;;;;100;1434;
101;1734;;;;;101;1869;;;;;101;2189;;;;;;;;;;101;2063;;;;;;;;;;101;1912;;;;;;;;;;101;1760;;;;;;;;;;101;1469;;;;;;;;;;101;1552;
102;1744;;;;;102;2013;;;;;102;2144;;;;;;;;;;102;2207;;;;;;;;;;102;2081;;;;;;;;;;102;1725;;;;;;;;;;102;1595;;;;;;;;;;102;1578;
103;1780;;;;;103;2058;;;;;103;2294;;;;;;;;;;103;2233;;;;;;;;;;103;2045;;;;;;;;;;103;1821;;;;;;;;;;103;1600;;;;;;;;;;103;1664;
104;1932;;;;;104;2153;;;;;104;2349;;;;;;;;;;104;2285;;;;;;;;;;104;2187;;;;;;;;;;104;1966;;;;;;;;;;104;1721;;;;;;;;;;104;1768;
105;1957;;;;;105;2277;;;;;105;2457;;;;;;;;;;105;2453;;;;;;;;;;105;2272;;;;;;;;;;105;2014;;;;;;;;;;105;1799;;;;;;;;;;105;1764;
106;2044;;;;;106;2366;;;;;106;2699;;;;;;;;;;106;2581;;;;;;;;;;106;2396;;;;;;;;;;106;2114;;;;;;;;;;106;1909;;;;;;;;;;106;1810;
107;2161;;;;;107;2481;;;;;107;2634;;;;;;;;;;107;2723;;;;;;;;;;107;2554;;;;;;;;;;107;2199;;;;;;;;;;107;2042;;;;;;;;;;107;1953;
108;2254;;;;;108;2539;;;;;108;2826;;;;;;;;;;108;2665;;;;;;;;;;108;2693;;;;;;;;;;108;2360;;;;;;;;;;108;2132;;;;;;;;;;108;2007;
109;2369;;;;;109;2646;;;;;109;2901;;;;;;;;;;109;2928;;;;;;;;;;109;2596;;;;;;;;;;109;2353;;;;;;;;;;109;2077;;;;;;;;;;109;2067;
110;2446;;;;;110;2799;;;;;110;3067;;;;;;;;;;110;2947;;;;;;;;;;110;2684;;;;;;;;;;110;2451;;;;;;;;;;110;2189;;;;;;;;;;110;2149;
111;2433;;;;;111;2971;;;;;111;2963;;;;;;;;;;111;3035;;;;;;;;;;111;2859;;;;;;;;;;111;2550;;;;;;;;;;111;2170;;;;;;;;;;111;2154;
112;2442;;;;;112;2938;;;;;112;3262;;;;;;;;;;112;3194;;;;;;;;;;112;2844;;;;;;;;;;112;2556;;;;;;;;;;112;2272;;;;;;;;;;112;2258;
113;2494;;;;;113;3027;;;;;113;3100;;;;;;;;;;113;3277;;;;;;;;;;113;3079;;;;;;;;;;113;2576;;;;;;;;;;113;2421;;;;;;;;;;113;2285;
114;2585;;;;;114;3147;;;;;114;3471;;;;;;;;;;114;3386;;;;;;;;;;114;2948;;;;;;;;;;114;2609;;;;;;;;;;114;2487;;;;;;;;;;114;2335;
